Acele et!	Hurry up!	phrase
Afiyet olsun!	Enjoy your meal!	phrase
Afrika pengueni	African penguin	noun
Allah aşkına	for god's sake	phrase
Allah'a ısmarladık!	Goodbye!	phrase
And kondoru	Andean condor	noun
Asperger sendromu	Asperger syndrome <AS>	noun
Asperger sendromu	Asperger's syndrome <AS>	noun
Baird tapiri	Baird's tapir	noun
Bali Denizi	Bali Sea	noun
Balmer serileri	Balmer series	noun
Başka bir şey	Anything else	phrase
Ben Avusturya'danım.	I am from Austria.	phrase
Ben de	Me neither	phrase
Beni ilgilendirmez	I don't care	phrase
Benim adım Frank	My name is Frank	phrase
Benim sıram	It's my turn	phrase
Bir şey değil	You are welcome	phrase
Burada yabancıyım	I'm a stranger here.	phrase
Cava Denizi	Java Sea	noun
Celebes Denizi	Celebes Sea	noun
Ciddiye alma	Take it easy	phrase
Dikkat et	Be careful	phrase
Doğu Avrupa	Eastern Europe	noun
Ege Denizi	Aegean Sea	noun
Fazlaca kalabalıktı	It was too crowded	phrase
Fiyatı nedir	How much is it?	phrase
Görüşme üzere	See you soon	phrase
Güle güle	Bye!	phrase
Güle güle	Goodbye!	phrase
Hamsin Yortusu	Pentecost	noun
Hayırlı sabahlar	Good morning!	phrase
Hesabı lütfen	The bill please!	phrase
Hiç bir suretle	Out of the question	phrase
Hoşça kal	Goodbye!	phrase
Humboldt pengueni	Humboldt penguin	noun
Kabul ediyorum.	I agree.	phrase
Kolay gelsin	Good luck! [wishing success]	phrase
Korkarım ki	I'm afraid	phrase
Kusura bakmayın	Excuse me!	phrase
Kuzey Kutbu	North Pole	noun
Memnun oldum	Nice to meet you.	phrase
O iyidir	He is doing well.	phrase
O nasıl	How's he doing?	phrase
Osmanlı İmparatorluğu	Ottoman Empire	noun
Prag Baharı	Prague Spring	noun
Rica ederim!	Please!	phrase
Siktir git	Fuck off! [vulg.]	phrase
Sıra bende	It's my turn.	phrase
Sıra sende	It's your turn.	phrase
Tanıştırabilir miyim	May I introduce ...	phrase
Tanıştığımıza memnun oldum	Nice to meet you.	phrase
abur cubur	snack	noun
acemice boyamak	to daub	verb
ada devleşmesi	insular gigantism	phrase
ada devleşmesi	island gigantism	phrase
ada doğanı	Eleonora's falcon	phrase
affını rica etmek	to apologise [Br.]	verb
ak kumkuşu	sanderling	noun
ak kuyruklu kız kuşu	white-tailed lapwing	noun
ak yanaklı kaz	barnacle goose	noun
akşam yemeği	dinner	noun
alaca örümcek kuşu	masked shrike	noun
alay etmek	to twit	verb
altmış altı	sixty-six	noun
altmış beş	sixty-five	noun
altmış bir	sixty-one	noun
altmış dokuz	sixty-nine	noun
altmış dört	sixty-four	noun
altmış iki	sixty-two	noun
altmış sekiz	sixty-eight	noun
altmış yedi	sixty-seven	noun
altmış üç	sixty-three	noun
altı yüz	six hundred	noun
aluminyum folyo	kitchenfoil	noun
alyan anahtarı	allen key	noun
alışveriş arabası	cart	noun
alışveriş yapmak	to purchase	verb
amino asit	amino acid	noun
analitik geometri	analytic geometry	noun
anlam çıkarmak	to conclude	verb
anlamına gelmek	to mean	verb
anlamında olmak	to mean	verb
ant içmek	to swear [oath]	verb
arada sırada	sometimes	adv
arka plan	background	noun
arka tarafında	behind	adv
art arda	repeatedly	phrase
ata binmek	to ride	verb
ateş karıştırıcısı	warmonger	noun
atla gitmek	to ride	verb
aynı şekilde	equally	adv
aynı şekilde	likewise	adv
az kalsın	almost	adv
az önce	just	adv
az önce	recently	adv
açlıktan kıvranmak	to starve	verb
açık yeşil	light green	adj
açık yıldız kümesi	open cluster	noun
açıklayıcı not	annotation	noun
ağaç gövdesi	trunk	noun
aşağı yukarı	approximately	adv
b-e yalan söylemek	to lie to sb.	verb
b-e zarar vermek	to hurt sb.	verb
b-i -bilir	sb. might	phrase
b-i incitmek	to hurt sb.	verb
b-i kandırmak	to lie to sb.	verb
b-i uyandırmak	to wake sb.	verb
b-i yaralamak	to hurt sb.	verb
bahçe tırmaşık kuşu	short-toed treecreeper	noun
baldır kemiği	shin bone	noun
balina köpek balığı	whale shark	noun
bana göre	in my opinion <IMO>	phrase
banyo küveti	bathtub	noun
basit lokanta	snack bar	noun
basınçlı hava	compressed air	noun
bataklık kamışçını	Savi's warbler	noun
bayan tuvaleti	women's restroom [Am.]	noun
bayağı alakarga	(Eurasian) jay	noun
bayağı boyunburan	Eurasian wryneck	noun
bayağı kızılkuyruk	(common) redstart	noun
bayağı taşçeviren	(ruddy) turnstone	noun
bayağı uzunkuyruk	long-tailed bushtit	noun
bayağı yayın balığı	sheatfish	noun
bayağı yayın balığı	wels catfish	noun
bayağı yediuyur	edible dormouse	noun
bayağı çalı kuşu	goldcrest	noun
bağımsız biçim	free-form	phrase
bağışıklık sistemi	immune system	noun
beceriksizce boyamak	to daub	verb
belediye başkanı	mayor	noun
belediye binası	town hall	noun
belirtme sıfatı	the [Turkish has no definite article]	phrase
belli ki	obviously	adv
benekli kedi [Felis margarita]	sand (dune) cat	noun
benekli sırtlan [Crocuta crocuta]	spotted hyena	noun
benzin istasyonu	gas station [Am.]	noun
besin maddeleri	groceries	noun
beyan etmek	to declare	verb
beyaz ayı	polar bear	noun
beyaz şarap	white wine	noun
beş bin	five thousand	noun
beş yüz	five hundred	noun
bile bile	on purpose	adv
biniş kartı	boarding pass	noun
boz yunus	Risso's dolphin	noun
boz çıvgın	(western) Bonelli's warbler	noun
boz ötleğen	garden warbler	noun
boğmaklı toygar	calandra lark	noun
bu arada	by the way <BTW>	adv
bu nedenle	therefore	adv
bu sebepten dolayı	because of this reason	phrase
bu yüzden	therefore	adv
bulmaya çalışmak	to look for	verb
buluşma yeri	meeting point	noun
buna rağmen	in spite of that	adv
bundan dolayı	therefore	adv
bundan dolayı	thus [therefore]	adv
bundan sonra	hereinafter	adv
bunun için	hence	adv
bunun için	therefore	adv
bupropion [C13H18ClNO]	bupropion	noun
buz pateni	ice skating	noun
bükülme noktası	inflection point	noun
büyük anne-baba	grandparents	noun
büyük kerkenez [Falco rupicoloides]	greater kestrel	noun
büyük kerkenez [Falco rupicoloides]	white-eyed kestrel	noun
büyük mağaza	department store	noun
büyük tarakdiş [Mergus merganser]	common merganser [Am.]	noun
büyük tarakdiş [Mergus merganser]	goosander [Br.]	noun
büyük örümcek kuşu [Lanius excubitor]	great grey shrike [Br.]	noun
büyükbaba ve büyükanne	grandparents	noun
can sıkıcı	annoying	adj
can sıkıcı	boring	adj
can çekişme	agony	noun
canlı yayın	live broadcast	noun
cenubî [osm.]	southern	adj
cep telefonu	cellular phone [Am.]	noun
cep telefonu	mobile phone [Br.]	noun
cevap vermek	to answer	verb
cumartesi <ct., cts.>	Saturday <Sat., Sa.>	noun
cımbızla almak	to tweeze	verb
cımbızla yolmak	to tweeze	verb
daha az	less	phrase
daha fazla	much more	adv
daha geç	later	phrase
daha kötü	worse	phrase
daha küçük	less	adj
daha sonra	later	phrase
daha çok	rather	adv
daha şirin	lovelier	adj
dana eti	veal	noun
dans etmek	to dance	verb
davet etmek	to invite	verb
davul çalmak	to drum	verb
de hali	locative	noun
dede ve nine	grandparents	noun
demek istemek	to mean	verb
demek olmak	to mean	verb
den hali	ablative	noun
deniz düdükçünü	red-necked phalarope	noun
deniz feneri	lighthouse	noun
deniz tutmuş	seasick	adj
deniz ürünleri	seafood	noun
deoksiribonükleik asit	deoxyribonucleic acid <DNA>	noun
destek çıtası	stringer	noun
devam etmek	to continue	verb
devlet desteği	subsidy	noun
değer azalması	depreciation	noun
değer kaybı	depreciation	noun
dikey stabilize	vertical stabilizer	noun
dikkat etmek	to look out	verb
dip notu	annotation	noun
diş ağrısı	toothache	noun
diş dibi çapı	minor diameter	noun
diş doktoru	dentist	noun
diş fırçası	toothbrush	noun
diş hekimi	dentist	noun
diş macunu	toothpaste	noun
dokuz yüz	nine hundred	noun
domuz budu	ham	noun
domuz eti	pork	noun
doğum günü	birthday	noun
dua etmek	pray	verb
dugong [Dugong dugon]	dugong	noun
dul kadın	widow	noun
dönme momenti	torque	noun
dönüm noktası	inflection point	noun
dönüş turning	noun
dönüş rotation	noun
dönüş return	noun
dört bin	four thousand	noun
dört yüz	four hundred	noun
döviz kuru	exchange rate	noun
dürüst olarak	to be honest	adv
dürüst olmak gerekirse	frankly speaking	phrase
dürüst olmayan	dishonest	adj
düğüm teorisi	knot theory	noun
düşey asimptot	vertical asymptote	noun
dış gezegen	outer planet	noun
e hali	dative	noun
el feneri	flashlight	noun
el feneri	torch	noun
el lambası	flashlight	noun
el sallamak	to wave	verb
elbise kolu	sleeve	noun
elde etmek	to get	verb
elde etmek	to receive	verb
ele verme	betrayal	noun
elektrik düğmesi	light switch	noun
elektrik fişi	plug	noun
elektrik traş makinası	electric razor	noun
eli açık	generous [liberal, lavish]	adj
elma suyu	apple juice	noun
elmalı pasta	apple pie	noun
en azından	at least	adv
en büyük	largest	adj
en son	last	adj
en sonunda	eventually	adv
engelli insan	disabled person	noun
erkek arkadaş	boyfriend	noun
erkek tuvaleti	men's restroom [Am.]	noun
erkek yeğen	nephew	noun
eski zamandan kalma	ancient	adj
et yemeyen	vegetarian	adj
ev sahibi	host	noun
evcil hayvan	pet	noun
evvelki gün	the day before yesterday	adv
evvelsi gün	the day before yesterday	adv
eğer olmazsa	unless	conj
eğilim göstermek	to tend to	verb
eğilimi olmak	to tend to	verb
farkında olmak	to be aware of	verb
fener kulesi	lighthouse	noun
firar kenarı	trailing edge	noun
fiş [elektrik]	plug	noun
fotoğraf makinesi	camera	noun
fotoğraf çekmek	to take a photograph	verb
fırça atmak	berate	verb
fırında pişirmek	to bake	verb
garantiye almak	to insure	verb
gece yarısı	midnight	noun
gençlik yurdu	hostel	noun
gençlik yurdu	youth hostel	noun
geometrik ortalama	geometric mean	noun
geri çekilme	retreat	noun
geri çevirmek	to reject	verb
gidip gelmek	to commute	verb	evle iş arasını gidip gelmek: to travel between home and work
gidip görmek	to visit	verb
göbek deliği	bellybutton	noun
gök gürlemesi	thunder	noun
gök gürültüsü	thunder	noun
görmeye gitmek	to visit	verb
görmezden gelmek	to ignore	verb
görülecek yer	sight	noun
görülmeye değer	worth seeing	adj
göz kırpmak	to blink	verb
göz kırpmak	to wink	verb
gözden geçirmek	to look at	verb
gözyaşı dökmek	to weep	verb
gözü pek	daring	adj
gümüş uçlu köpekbalığı [Carcharhinus albimarginatus]	silvertip shark	noun
güneyde bulunan	southern	adj
güneş batışı	sunset	noun
güneş doğması	sunrise	noun
güneş doğuşu	sunrise	noun
güneş kremi	sun creme	noun
güneş kremi	sunscreen	noun
güneşin batısı	sunset	noun
güneşin doğuşu	sunrise	noun
günün saati	time of day	noun
gıda maddeleri	groceries	noun
haberi olmak	to know	verb
haddinden fazla	over the top	adj
hak iddia etmek	to claim	verb
hakaret etmek	to insult	verb
hata mesajı	error message	noun
hava atmak	to show off	verb
hava durumu	weather forecast	noun
hava limanı	airport	noun
havacılık mühendisi	aeronautical engineer	noun
havada süzülmek	to sail	verb
havayolu şirketi	airline	noun
hayal gücü	imagination	noun
hayal kırıklığı	disappointment	noun
hayran kalmak	to admire	verb
hayran olmak	to admire	verb
hayrete düşürmek	to surprise	verb
haziran <Haz., Hz., H>	June	noun
hazır bulunma	availability	noun
hedefe oturmak	to hit	verb
hekimin hastası	patient	noun
hem de	also	adv
hem de	even	adv
hemen hemen	almost	adv
hemfikir olmak	to agree	verb
henüz değil	not yet	adv
hepsinden önce	above all	adv
her ay	monthly	adv
her gün	every day	adv
her ikisi	both	phrase
her sene	annual	adj
her tarafta	throughout [everywhere]	adv
her tarafında	throughout [everywhere]	adv
her yerde	anywhere	adv
her yerde	throughout [everywhere]	adv
her yerinde	throughout [everywhere]	adv
her yıl	annual	adj
her zaman olduğu gibi	as always	phrase
her zaman	anytime	adv
her zamanki gibi	as always	phrase
her şeyden evvel	above all	adv
her şeyden önce	above all	adv
herhangi bir zaman	ever	adv
herhangi bir şey	something	pron
herhangi bir	any [noun qualifier]	phrase
herhangi bir	any	phrase
herhangi biri	anyone	pron
herkes için	for all	phrase
hesaba katmak	to take sth. into account	verb
heyecan verici	exciting	adj
hidralazin [C8H8N4]	hydralazine	noun
hiç [+negation]	not at all	adv
hiç bir suretle	in no case	adv
hiç kimse	nobody	pron
hiç olmazsa	at least	adv
hiçbir zaman	never	adv
hiçbir şey	nothing	pron
hor görmek	to scorn	verb
hoşnut etmek	to please	verb
hoşuna gitmek	to please	verb
huzursuz etmek	to disturb	verb
hâkim görüş	mainstream	noun
hücum açısı	angle of attack	noun
hücum kenarı	leading edge	noun
i hali	accusative	noun
idam cezası	death penalty	noun
idareli harcamak	to save	verb
idrak etmek	to grasp	verb
iflas ettirmek	to bankrupt	verb
ihanet etmek	to betray	verb
ihtivâ etmek	subsume	verb
ihtiyacı olmak	to need	verb
ikamet etmek	to live [in a building/at a place]	verb
iki bin	two thousand	noun
iki yüz	two hundred	noun
ikiz paradoksu	twin paradox	noun
ilan tahtası	notice board	noun
ilave etmek	to add	verb
ileri gitmek	to exceed	verb
ilk olarak	in the first place	adv
imdadına yetişmek	to help	verb
imha etmek	to destroy	verb
in hali	genitive	noun
isabet etmek	to hit	verb
istif etmek	to stack	verb
istifa etmek	to resign	verb
istihtam etme	employment	noun
iyi ki	fortunately	adv
iyice kızarmış	well done [gastronomy]	adj
izin vermek	to allow	verb
izin vermek	to give permission	verb
içeri gelmek	to step in	verb
içi boş	hollow	adj
içki mahmurluğu	hangover	noun
iğdiş etmek	to castrate	verb
iş parçacığı	thread	noun
işaret parmağı	forefinger	noun
işe alma	employment	noun
işgal altında	occupied	adj
işgal edilmiş	occupied	phrase
iştah açıcı	aperitive	noun
kabin basıncı	cabin pressure	noun
kabin basınçlandırması	cabin pressurization	noun
kabin tazyîki	cabin pressure	noun
kadar [süre]	by	prep
kafası karışmış	confused	phrase
kafaya takma	obsession	noun
kahvaltı büfesi	breakfast buffet	noun
kaltak [kaba]	whore	noun
kamp yeri	camping site	noun
kapı kilidi	lock [on a door]	noun
kar baykuşu	snowy owl	noun
kar payları	dividends {pl}	noun
kar tanesi	snowflake	noun
kara alınlı örümcek kuşu	lesser gray shrike [Am.]	noun
kara ağaçkakan	black woodpecker	noun
kara başlı kiraz kuşu	black-headed bunting	noun
kara başlı çinte	black-headed bunting	noun
kara dalıcı martı	black guillemot	noun
kara gerdanlı dalgıç	Arctic loon [Am.]	noun
kara kızılkuyruk	black redstart	noun
kara leylek	black stork	noun
kara mamba	black mamba	noun
kara sırtlı çakal	black-backed jackal	noun
